Original	Simplified	G	S	M	Overall
Although largely of postwar construction , this central area retains its old street pattern , and most of the surviving historical and architectural monuments are located there .	As of the postwar construction , in this central area uses its old street pattern , and most of the historical monuments and and architectural are located there .	bad	bad	ok	bad
In particular the exceptionally bitter winter of 1941-42 , when temperatures fell to -40 degree F ( -40 degree C ) , was one of extreme hardship and loss of life .	In particular , the exceptionally bitter winter of 1941-42 , when temperatures fell to -40 F degree ( -40 degree Celsius ) , was one of extreme hardship and loss of life .	good	bad	good	bad
In particular the exceptionally bitter winter of 1941-42 , when temperatures fell to -40 degree F ( -40 degree C ) , was one of extreme hardship and loss of life .	In particular , the exceptionally bitter winter of 1941-42 , when temperatures fell to -40 F degree ( degree -40 C ) , was one of the extreme hardship and loss of life .	good	bad	good	bad
In particular the exceptionally bitter winter of 1941-42 , when temperatures fell to -40 degree F ( -40 degree C ) , was one of extreme hardship and loss of life .	In particular , the exceptionally bitter winter of 1941-42 , when temperatures fell to some degree -40 F ( -40 C ) , was one of extreme hardship and loss of life .	good	bad	good	bad
In particular the exceptionally bitter winter of 1941-42 , when temperatures fell to -40 degree F ( -40 degree C ) , was one of extreme hardship and loss of life .	In particular , the winter of exceptionally bitter 1941-42 , when temperatures fell to -40 degrees F ( -40 degrees C ) , was one of the extreme hardship and loss of life .	good	bad	ok	bad
In particular the exceptionally bitter winter of 1941-42 , when temperatures fell to -40 degree F ( -40 degree C ) , was one of extreme hardship and loss of life .	In such as the exceptionally bitter of 1941-42 winter , temperatures fell to -40 F ( degree -40 C ) degree , was one of the extreme hardship and loss of life .	bad	bad	ok	bad
In particular the exceptionally bitter winter of 1941-42 , when temperatures fell to -40 degree F ( -40 degree C ) , was one of extreme hardship and loss of life .	In the winter of emperor exceptionally bitter 1941-42 , temperatures fell to earthquake -40 F ( -40 C ) earthquake was one of the extreme hardship and 1987 lives .	bad	bad	bad	bad
It is located in the central Mexican plateau , in the Valley of Mexico -- more properly a basin -- just north of the Neo-Volcanica Range .	It is located in the central Mexican plateau , in the Valley of Mexico -- more properly a basin -- just north of the Neo-Volcanica Range .	good	bad	good	bad
It is located in the central Mexican plateau , in the Valley of Mexico -- more properly a basin -- just north of the Neo-Volcanica Range .	It is located in the central Mexican plateau , in the Valley of Mexico - more properly a basin , just north of the Neo-Volcanica Range .	good	ok	good	ok
It is located in the central Mexican plateau , in the Valley of Mexico -- more properly a basin -- just north of the Neo-Volcanica Range .	It is located in the central Mexican plateau , in the Valley of Mexico - more properly a basin - just north of the Neo-Volcanica Range .	good	ok	good	ok
It is located in the central Mexican plateau , in the Valley of Mexico -- more properly a basin -- just north of the Neo-Volcanica Range .	It is located in the central Mexican plateau , in the Valley of Mexico - more properly a basin -- just north of the Neo-Volcanica Range .	good	ok	good	ok
It is located in the central Mexican plateau , in the Valley of Mexico -- more properly a basin -- just north of the Neo-Volcanica Range .	It is located in the central Mexican plateau in the Valley of Mexico -- more properly a basin -- just north of the Neo-Volcanica Range .	good	ok	good	ok
It is located in the central Mexican plateau , in the Valley of Mexico -- more properly a basin -- just north of the Neo-Volcanica Range .	It is located in the central Mexican plateau , in the Valley of Mexico - more tumors a basin - just north of the Neo-Volcanica park .	ok	ok	bad	bad
Madrid was occupied by French troops during the Napoleonic Wars , and Napoleon's brother Joseph was installed on the throne .	Madrid was occupied by French his soldiers during the Napoleonic Wars , and Napoleon's brother Joseph was installed on the throne .	good	good	good	good
Madrid was occupied by French troops during the Napoleonic Wars , and Napoleon's brother Joseph was installed on the throne .	Madrid was occupied by French troops during the Napoleonic Wars , and Napoleon's brother Joseph was installed on the throne .	good	good	good	good
Madrid was occupied by French troops during the Napoleonic Wars , and Napoleon's brother Joseph was installed on the throne .	Madrid was occupied by French troops during the Napoleonic wars , and Napoleon's brother Joseph was installed on the throne .	good	good	good	good
Madrid was occupied by French troops during the Napoleonic Wars , and Napoleon's brother Joseph was installed on the throne .	Madrid was occupied by French troops during the Napoleonic Wars , and Napoleon's brother Joseph was put on the throne .	good	good	good	good
Madrid was occupied by French troops during the Napoleonic Wars , and Napoleon's brother Joseph was installed on the throne .	Madrid was occupied by French troops during the Napoleonic Wars , and Napoleon's brother Joseph was -RRB- installed on them on the throne .	ok	ok	ok	ok
Madrid was occupied by French troops during the Napoleonic Wars , and Napoleon's brother Joseph was installed on the throne .	Madrid was occupied by French troops in the Napoleonic Wars , and Napoleon's brother Joseph was installed on the throne .	good	good	good	good
Mexico lies in an endorheic ( characterized by interior drainage ) basin at an altitude of approximately 7,350 feet ( 2,240 metres) .	Mexico is an endorheic ( characterized by interior ) drainage basin at a height can change of approximately 7,350 feet ( 2,240 metres) .	ok	bad	bad	bad
Mexico lies in an endorheic ( characterized by interior drainage ) basin at an altitude of approximately 7,350 feet ( 2,240 metres) .	Mexico is in an endorheic ( characterized by interior ) drainage basin at an altitude of approximately 7,350 feet ( 2,240 metres) .	good	good	good	good
Mexico lies in an endorheic ( characterized by interior drainage ) basin at an altitude of approximately 7,350 feet ( 2,240 metres) .	Mexico is situated in an endorheic ( characterized by interior ) drainage basin at an altitude of approximately 7,350 feet ( 2,240 metres) .	good	ok	good	ok
Mexico lies in an endorheic ( characterized by interior drainage ) basin at an altitude of approximately 7,350 feet ( 2,240 metres) .	Mexico lies in an endorheic ( characterized by back ) drainage basin at an altitude of approximately 7,350 feet ( 2,240 metres) .	good	ok	ok	ok
Mexico lies in an endorheic ( characterized by interior drainage ) basin at an altitude of approximately 7,350 feet ( 2,240 metres) .	Mexico lies in an endorheic ( characterized by interior ) drainage basin , at an altitude of approximately 7,350 feet ( 2,240 metres) .	good	ok	good	ok
Mexico lies in an endorheic ( characterized by interior drainage ) basin at an altitude of approximately 7,350 feet ( 2,240 metres) .	Mexico lies in an endorheic ( characterized by interior ) drainage basin at an altitude of approximately 7,350 feet ( 2,240 metres) .	good	ok	good	ok
On what became known as Bloody Sunday , January 9 ( January 22 ) , a mass march to the Winter Palace , bearing a petition to the tsar , was met by troops , who opened fire; more than 100 people were killed and hundreds more wounded .	On average , became known as Bloody Sunday , January 9 ( ) January 22 , a mass march to the Winter in , bearing a petition to the tsar , was met by troops , opened fire; more than 100 people were killed and hundreds more wounded .	bad	bad	bad	bad
On what became known as Bloody Sunday , January 9 ( January 22 ) , a mass march to the Winter Palace , bearing a petition to the tsar , was met by troops , who opened fire; more than 100 people were killed and hundreds more wounded .	On what became known as Bloody Sunday , January 9 ( ) January 22 , a mass march to the Winter Palace , bearing a petition to the tsar is met by troops , opened fire; more than 100 people were killed and hundreds more wounded .	bad	bad	ok	bad
On what became known as Bloody Sunday , January 9 ( January 22 ) , a mass march to the Winter Palace , bearing a petition to the tsar , was met by troops , who opened fire; more than 100 people were killed and hundreds more wounded .	On what became known as Bloody Sunday , January 9 January 22 ( ) , a mass march to the Winter Palace , bearing a petition to the tsar , was Divine by his soldiers , who was opened fire; more than 100 people were killed and hundreds more wounded .	bad	bad	ok	bad
On what became known as Bloody Sunday , January 9 ( January 22 ) , a mass march to the Winter Palace , bearing a petition to the tsar , was met by troops , who opened fire; more than 100 people were killed and hundreds more wounded .	On what became known as Bloody Sunday , January 9 ( January 22 ) , a mass march to the Winter Palace , bearing a petition to the tsar , was met by soldiers , who opened fire; more than 100 people were killed and hundreds more wounded .	good	bad	good	bad
On what became known as Bloody Sunday , January 9 ( January 22 ) , a mass march to the Winter Palace , bearing a petition to the tsar , was met by troops , who opened fire; more than 100 people were killed and hundreds more wounded .	On what became known as Bloody Sunday , January 9 ( January 22 ) , a mass march to the Winter Palace , bearing a petition to the tsar , was met by troops , who opened fire; more than 100 people were killed and hundreds more wounded .	good	bad	good	bad
On what became known as Bloody Sunday , January 9 ( January 22 ) , a mass march to the Winter Palace , bearing a petition to the tsar , was met by troops , who opened fire; more than 100 people were killed and hundreds more wounded .	On what became known as Bloody Sunday of the Gregorian calendar , January 9 ( January 22 ) , a mass march to the Winter Palace , bearing a petition to the tsar , was met by troops , who opened fire; more than 100 people were killed and hundreds more wounded .	good	bad	good	bad
Some of its streets , especially those leading down to the Baixa , are so steep that they give way to stairs , cable cars , and even an elevator ( an iron structure designed by the French engineer Gustav Eiffel) .	All of its streets , chemical leading down to the Baixa , are a steep that they give to to stairs , cable cars , and are an elevator ( an iron structure designed by the French engineer Gustav Eiffel) .	bad	ok	bad	bad
Some of its streets , especially those leading down to the Baixa , are so steep that they give way to stairs , cable cars , and even an elevator ( an iron structure designed by the French engineer Gustav Eiffel) .	Some of its streets , especially those going down to the Baixa , are steep so that they give way to stairs , cable cars , and even an elevator ( an iron structure made by the French engineer Gustav Eiffel) .	good	ok	good	ok
Some of its streets , especially those leading down to the Baixa , are so steep that they give way to stairs , cable cars , and even an elevator ( an iron structure designed by the French engineer Gustav Eiffel) .	Some of its streets , especially those leading down to the Baixa , are so steep that they give way to stairs , cable cars , and even an elevator ( an iron structure designed by the French engineer Gustav Eiffel) .	good	ok	good	ok
Some of its streets , especially those leading down to the Baixa , are so steep that they give way to stairs , cable cars , and even an elevator ( an iron structure designed by the French engineer Gustav Eiffel) .	Some of its streets , especially those leading down to the Baixa , are so steep that they give way to stairs , cable cars , and even an elevator ( an iron structure made by the French engineer Gustav Eiffel) .	good	good	good	good
Some of its streets , especially those leading down to the Baixa , are so steep that they give way to stairs , cable cars , and even an elevator ( an iron structure designed by the French engineer Gustav Eiffel) .	Some of its streets , especially those leading down to the Baixa are steep , so that they give way to stairs , cable cars , and even an elevator ( an iron structure made by the French engineer Gustav Eiffel) .	good	ok	good	ok
Some of its streets , especially those leading down to the Baixa , are so steep that they give way to stairs , cable cars , and even an elevator ( an iron structure designed by the French engineer Gustav Eiffel) .	Some of its streets , especially those of the leading down to the Baixa , are very steep that they give way to stairs , cable there , and even an elevator ( an iron structure designed by the French engineer Gustav Eiffel) .	ok	ok	good	ok
St . Petersburg is located on the delta of the Neva River , at the head of the Gulf of Finland .	St Petersburg , and is located on the delta of the Neva River , at the head of the Gulf of Finland .	bad	ok	good	ok
St . Petersburg is located on the delta of the Neva River , at the head of the Gulf of Finland .	St Petersburg and is located on the delta of the Neva River , at the head of the Gulf of Finland .	ok	ok	good	ok
St . Petersburg is located on the delta of the Neva River , at the head of the Gulf of Finland .	St Petersburg , is located on the delta of the Neva River , at the head of the Gulf of Finland .	ok	ok	good	ok
St . Petersburg is located on the delta of the Neva River , at the head of the Gulf of Finland .	St Petersburg , is located on the delta of the Neva River , at the head of the Gulf of Finland .	ok	ok	good	ok
St . Petersburg is located on the delta of the Neva River , at the head of the Gulf of Finland .	St Petersburg . is located on the east of the Neva River , at the head of the Gulf of Finland .	bad	ok	ok	ok
St . Petersburg is located on the delta of the Neva River , at the head of the Gulf of Finland .	: St Petersburg is the delta of the Neva River , at the head of the Gulf of Finland .	good	good	bad	bad
St . Petersburg is one of Russia's most important centres for education and scientific research; a sizable proportion of the employed population is engaged in education , the arts , and the sciences .	St Petersburg and is one of Russia's most important centres for education and scientific research; employed a sizable proportion of the population is engaged in education , the arts and sciences .	bad	bad	ok	bad
St . Petersburg is one of Russia's most important centres for education and scientific research; a sizable proportion of the employed population is engaged in education , the arts , and the sciences .	St Petersburg , is one of Russia's most important centres for education and scientific research; a sizable proportion of the employed population is engaged in education , the arts , and the sciences .	ok	bad	good	bad
St . Petersburg is one of Russia's most important centres for education and scientific research; a sizable proportion of the employed population is engaged in education , the arts , and the sciences .	St Petersburg is one of Russia's . most weakly centres for education and scientific research; employed a sizable proportion of the population is engaged in education , the arts and sciences .	bad	bad	bad	bad
St . Petersburg is one of Russia's most important centres for education and scientific research; a sizable proportion of the employed population is engaged in education , the arts , and the sciences .	St Petersburg Russia's . is one of most important centres for education and scientific research; 's proportion of the population is employed in education , the arts and sciences .	bad	bad	bad	bad
St . Petersburg is one of Russia's most important centres for education and scientific research; a sizable proportion of the employed population is engaged in education , the arts , and the sciences .	St Petersburg Russia's , is one of the most important centres for education and scientific research; a sizable proportion of the employed population is engaged in education , the arts and sciences .	bad	bad	ok	bad
St . Petersburg is one of Russia's most important centres for education and scientific research; a sizable proportion of the employed population is engaged in education , the arts , and the sciences .	St Petersburg Russia's , is one of the most important centres for education and scientific research; employed a sizable proportion of the population is engaged in education , the arts and sciences .	bad	bad	ok	bad
The city was popularly called Seoul in Korean during both the Yi dynasty ( 1392-1910 ) and the period of Japanese rule ( 1910-45 ) , although the official names in those periods were Hansong and Kyongsong , respectively .	The city was popularly called Korea in Korea during the Yi Dynasty ( 1392-1910 ) and the period of Japanese rule ( 1910-45 ) , although the names that were in the state Hansong and Kyongsong , .	bad	bad	bad	bad
The city was popularly called Seoul in Korean during both the Yi dynasty ( 1392-1910 ) and the period of Japanese rule ( 1910-45 ) , although the official names in those periods were Hansong and Kyongsong , respectively .	The city was popularly called Seoul in Korean during both the Yi dynasty ( 1392-1910 ) and the period of Japanese rule ( 1910-45 ) , although the official names in those periods were Hansong and Kyongsong , respectively .	good	bad	good	bad
The city was popularly called Seoul in Korean during both the Yi dynasty ( 1392-1910 ) and the period of Japanese rule ( 1910-45 ) , although the official names in those periods were Hansong and Kyongsong , respectively .	The city was popularly called Seoul in Korean during both the Yi dynasty ( 1392-1910 ) and the period of Japanese rule ( 1910-45 ) , although the official names in those periods were Hansong and Kyongsong , respectively .	good	bad	good	bad
The city was popularly called Seoul in Korean during both the Yi dynasty ( 1392-1910 ) and the period of Japanese rule ( 1910-45 ) , although the official names in those periods were Hansong and Kyongsong , respectively .	The city was popularly called Seoul in Korean during both the Yi dynasty ( 1392-1910 ) and the period of Japanese rule ( 1910-45 ) , but the official names in those periods were Hansong and Kyongsong , respectively .	good	ok	good	ok
The city was popularly called Seoul in Korean during both the Yi dynasty ( 1392-1910 ) and the period of Japanese rule ( 1910-45 ) , although the official names in those periods were Hansong and Kyongsong , respectively .	The city was popularly called Seoul in Korean during the Yi dynasty ( 1392-1910 ) and the period of Japanese rule ( 1910-45 ) , although the official names in those periods were Hansong and Kyongsong , respectively .	good	ok	good	ok
The city was popularly called Seoul in Korean during both the Yi dynasty ( 1392-1910 ) and the period of Japanese rule ( 1910-45 ) , although the official names in those periods were Hansong and Kyongsong , respectively .	The city was popularly called Seoul in Korean in both the Yi dynasty ( 1392-1910 ) and added of Japanese rule ( 1910-45 ) , although the names in chemical periods were Hansong and Kyongsong , respectively .	ok	bad	bad	bad
The interior is magnificently decorated with frescoes and mosaics; it contains the tomb of Yaroslav , during whose reign the cathedral was built .	The back is magnificently decorated with frescoes and mosaics; it contains the tomb of Yaroslav , during whose reign the cathedral was built .	good	ok	good	ok
The interior is magnificently decorated with frescoes and mosaics; it contains the tomb of Yaroslav , during whose reign the cathedral was built .	The core is magnificently decorated with frescoes and mosaics; it contains the tomb of Yaroslav , during whose reign , the cathedral was built .	good	ok	good	ok
The interior is magnificently decorated with frescoes and mosaics; it contains the tomb of Yaroslav , during whose reign the cathedral was built .	The interior is magnificently decorated with frescoes and mosaics; it contains the tomb of Yaroslav , during the rule that the cathedral was built .	good	good	good	good
The interior is magnificently decorated with frescoes and mosaics; it contains the tomb of Yaroslav , during whose reign the cathedral was built .	The interior is magnificently decorated with frescoes and mosaics; it contains the tomb of Yaroslav . , in the cathedral was in reign .	bad	ok	ok	ok
The interior is magnificently decorated with frescoes and mosaics; it contains the tomb of Yaroslav , during whose reign the cathedral was built .	The interior is magnificently decorated with frescoes and mosaics; it contains the tomb of Yaroslav , whose reign of the cathedral was built .	good	ok	ok	ok
The interior is magnificently decorated with frescoes and mosaics; it contains the tomb of Yaroslav , during whose reign the cathedral was built .	The interior is magnificently decorated with frescoes and mosaics; it contains the tomb of Yaroslav , whose reign the cathedral was built .	good	ok	good	ok
The national insurrection of 1794 , led by Tadeusz Kosciuszko against the Russo-Prussian second partition , was brutally crushed; the ensuing third partition of Poland among Russia , Prussia , and Austria left Warsaw a provincial town of South Prussia .	The national insurrection makers of 1794 , by Tadeusz Kosciuszko against the Russo-Prussian second partition was brutally crushed; the ensuing second partition of Poland in Russia , Prussia and Austria went to Warsaw a provincial town of South Prussia .	ok	bad	bad	bad
The national insurrection of 1794 , led by Tadeusz Kosciuszko against the Russo-Prussian second partition , was brutally crushed; the ensuing third partition of Poland among Russia , Prussia , and Austria left Warsaw a provincial town of South Prussia .	The national insurrection of 1794 , led by Tadeusz Kosciuszko against the Russo-Prussian second partition was brutally crushed; the ensuing third partition of Poland among Russia , Prussia and Austria left Warsaw a provincial town of Prussia .	good	bad	good	bad
The national insurrection of 1794 , led by Tadeusz Kosciuszko against the Russo-Prussian second partition , was brutally crushed; the ensuing third partition of Poland among Russia , Prussia , and Austria left Warsaw a provincial town of South Prussia .	The national insurrection of 1794 , led by Tadeusz Kosciuszko against the Russo-Prussian second partition was brutally crushed; the ensuing third partition of Poland among Russia , Prussia and Austria left Warsaw a provincial town of South Prussia .	good	bad	good	bad
The national insurrection of 1794 , led by Tadeusz Kosciuszko against the Russo-Prussian second partition , was brutally crushed; the ensuing third partition of Poland among Russia , Prussia , and Austria left Warsaw a provincial town of South Prussia .	The national insurrection of 1794 , led by Tadeusz Kosciuszko against the Russo-Prussian second partition , was brutally crushed; the ensuing third partition of Poland among Russia , Prussia and Austria left Warsaw a provincial town of South Prussia .	good	bad	good	bad
The national insurrection of 1794 , led by Tadeusz Kosciuszko against the Russo-Prussian second partition , was brutally crushed; the ensuing third partition of Poland among Russia , Prussia , and Austria left Warsaw a provincial town of South Prussia .	The national insurrection of 1794 , led by Tadeusz Kosciuszko against the Russo-Prussian second partition , was brutally crushed; the ensuing third partition of Poland in Russia , Prussia and Austria left Warsaw a provincial town of South Prussia .	good	bad	ok	bad
The national insurrection of 1794 , led by Tadeusz Kosciuszko against the Russo-Prussian second partition , was brutally crushed; the ensuing third partition of Poland among Russia , Prussia , and Austria left Warsaw a provincial town of South Prussia .	The national insurrection of New Jersey , Caldwell Township , led by Tadeusz Kosciuszko against the Russo-Prussian second also was brutally crushed; the ensuing third also of Poland and Russia , Prussia and Austria left Warsaw , a provincial town of Prussia .	bad	bad	bad	bad
The occupation of Warsaw by the French Army in 1806 was followed a year later by Napoleon's creation of the duchy of Warsaw , a measure that reinstated the city as a capital .	The Image of Warsaw by the French Army in 1806 , which was released a year later by Napoleon's creation of the duchy of Warsaw , a measure that reinstated the city as a capital .	ok	bad	bad	bad
The occupation of Warsaw by the French Army in 1806 was followed a year later by Napoleon's creation of the duchy of Warsaw , a measure that reinstated the city as a capital .	The job of Warsaw by the French Army in 1806 was followed a year later by Napoleon's creation of the duchy of Warsaw , a measure that reinstated the city as a capital .	good	bad	bad	bad
The occupation of Warsaw by the French Army in 1806 was followed a year later by Napoleon's creation of the duchy of Warsaw , a measure that reinstated the city as a capital .	The occupation of Warsaw by the French Army in 1806 was followed a year later by Napoleon's creation of the duchy of Warsaw , a measure that reinstated the city as a capital .	good	bad	good	bad
The occupation of Warsaw by the French Army in 1806 was followed a year later by Napoleon's creation of the duchy of Warsaw , a measure that reinstated the city as a capital .	The occupation of Warsaw by the French Army in 1806 was followed a year later by Napoleon's creation of the duchy of Warsaw , a way that reinstated the city as a capital .	good	ok	good	ok
The occupation of Warsaw by the French Army in 1806 was followed a year later by Napoleon's creation of the duchy of Warsaw , a measure that reinstated the city as a capital .	The occupation of Warsaw by the French Army in 1806 was followed by a year later Napoleon's creation of the duchy of Warsaw , a measure of the city that reinstated as a capital .	ok	bad	ok	bad
The occupation of Warsaw by the French Army in 1806 was followed a year later by Napoleon's creation of the duchy of Warsaw , a measure that reinstated the city as a capital .	The occupation of Warsaw by the French Army in 1806 was was a year later by Napoleon's creation of the duchy of Warsaw , a measure that reinstated the city as a capital .	ok	bad	ok	bad
There are , in fact , more than 40 parks and public gardens , the principal ones being the Retiro , Campo del Moro , Casa de Campo , and Oeste Park , not to mention the curious temple of Debod ( an ancient Egyptian temple acquired by Spain at the time of the construction of the Aswan High Dam ) near Rosales , with splendid panoramic views over the city .	There are , in fact , more than 40 parks and public gardens , the main ones being the Retiro , del Campo Moro , Casa de Campo , and Oeste Park , not to mention the curious temple of Debod ( an ancient Egyptian temple acquired by Spain at the time of the building of the Aswan High Dam ) near Rosales , with splendid panoramic views over the city .	good	ok	good	ok
There are , in fact , more than 40 parks and public gardens , the principal ones being the Retiro , Campo del Moro , Casa de Campo , and Oeste Park , not to mention the curious temple of Debod ( an ancient Egyptian temple acquired by Spain at the time of the construction of the Aswan High Dam ) near Rosales , with splendid panoramic views over the city .	There are , in fact , more than 40 parks and public gardens , the main ones being the Retiro , del Campo Moro , Casa de Campo , and Oeste Park , not to mention the curious temple of Debod ( an ancient Egyptian temple acquired by Spain at the time of the construction of the Aswan High Dam ) near Rosales , with splendid panoramic views over the city .	good	ok	good	ok
There are , in fact , more than 40 parks and public gardens , the principal ones being the Retiro , Campo del Moro , Casa de Campo , and Oeste Park , not to mention the curious temple of Debod ( an ancient Egyptian temple acquired by Spain at the time of the construction of the Aswan High Dam ) near Rosales , with splendid panoramic views over the city .	There are , in fact , more than 40 public parks and gardens , the main ones are the Retiro , del Campo Moro , Casa de Campo , and Oeste Park , not to mention the curious temple of Debod ( an ancient Egyptian temple acquired by Spain at the time of the construction of the Aswan High Dam ) near Rosales , with splendid panoramic views over the city .	good	ok	good	ok
There are , in fact , more than 40 parks and public gardens , the principal ones being the Retiro , Campo del Moro , Casa de Campo , and Oeste Park , not to mention the curious temple of Debod ( an ancient Egyptian temple acquired by Spain at the time of the construction of the Aswan High Dam ) near Rosales , with splendid panoramic views over the city .	There are , in fact , more than 40 public parks and gardens , the main styles being the Retiro , Campo del Moro , Casa de Campo , and Oeste Park , not to mention the curious temple of Debod ( an ancient Egyptian temple acquired by Spain at the time of the construction of the Aswan High Dam ) near Rosales , with splendid panoramic views over the city .	good	bad	ok	bad
There are , in fact , more than 40 parks and public gardens , the principal ones being the Retiro , Campo del Moro , Casa de Campo , and Oeste Park , not to mention the curious temple of Debod ( an ancient Egyptian temple acquired by Spain at the time of the construction of the Aswan High Dam ) near Rosales , with splendid panoramic views over the city .	There are , in fact , more than 40 public parks and gardens , the principal ones being the Retiro , del Campo Moro , Casa de Campo , and Oeste Park , not to mention the curious temple of Debod ( an ancient temple -LRB- acquired by Spain at the time of the building of the Aswan High Dam ) near Rosales , with splendid panoramic ideas over the city .	good	bad	ok	bad
There are , in fact , more than 40 parks and public gardens , the principal ones being the Retiro , Campo del Moro , Casa de Campo , and Oeste Park , not to mention the curious temple of Debod ( an ancient Egyptian temple acquired by Spain at the time of the construction of the Aswan High Dam ) near Rosales , with splendid panoramic views over the city .	There are , in fact , more than 40 public parks and gardens , the principal ones were not the Retiro , del Campo Moro , Casa de Campo , and Oeste Park , not to mention the curious temple of Debod ( a temple in Egyptian acquired by Spain at the time of the construction of the Aswan Dam '' ) near Rosales , and splendid panoramic views over the city .	ok	bad	ok	bad
There was considerable development in Lisbon throughout this time , and during World Wars I and II the city was able to offer refuge to some 200,000 foreigners .	There was considerable development in Lisbon during this time , and during World wars I and II the city was able to offer refuge to some 200,000 foreigners .	good	good	good	good
There was considerable development in Lisbon throughout this time , and during World Wars I and II the city was able to offer refuge to some 200,000 foreigners .	There was considerable development in Lisbon during this time , and during World Wars I and II the city was able to offer refuge to some 200,000 foreigners .	good	good	good	good
There was considerable development in Lisbon throughout this time , and during World Wars I and II the city was able to offer refuge to some 200,000 foreigners .	There was considerable development in Lisbon during this time , and during World Wars I and II the city was able to offer refuge to some 200,000 foreigners .	good	ok	good	ok
There was considerable development in Lisbon throughout this time , and during World Wars I and II the city was able to offer refuge to some 200,000 foreigners .	There was considerable development in Lisbon throughout this time , and during the Second World Wars I and II the city was able to offer refuge to some 200,000 foreigners .	good	ok	good	ok
There was considerable development in Lisbon throughout this time , and during World Wars I and II the city was able to offer refuge to some 200,000 foreigners .	There was considerable development in Lisbon throughout this time , and in World Wars I and II the city was able to offer refuge to some 200,000 foreigners .	good	ok	good	ok
There was considerable development in Lisbon throughout this time , and during World Wars I and II the city was able to offer refuge to some 200,000 foreigners .	There was of development in Lisbon in this time , and during the World Wars I and II the city was able to offer some refuge 200,000 foreigners .	ok	bad	ok	bad
A 21-year-old woman who was seriously injured in a shooting incident in Co Derry yesterday remains in a critical condition at Belfast's Royal Victoria Hospital.	A 21-year-old woman remains in a critical condition at Belfast 's Royal Victoria Hospital .	good	good	ok	ok
A 21-year-old woman who was seriously injured in a shooting incident in Co Derry yesterday remains in a critical condition at Belfast's Royal Victoria Hospital.	A 21-year-old woman was seriously injured in a shooting incident in Co Derry yesterday.	good	good	ok	ok
